,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
0,151521112,11/04/2015,11/03/2015,2230,,N Hollywood,1555,330,BURGLARY FROM VEHICLE,0344,33.0,F,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,11100    CAMARILLO                    ST,,"(34.1577, -118.3727)"
1,151521113,11/04/2015,10/30/2015,200,,N Hollywood,1548,330,BURGLARY FROM VEHICLE,0344 1609 1307,44.0,F,B,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,11100    CHANDLER                     BL,,"(34.1681, -118.3724)"
2,151521117,11/04/2015,11/04/2015,1400,,N Hollywood,1506,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,0.0,M,H,704.0,ELEMENTARY SCHOOL,511.0,VERBAL THREAT,JA,Juv Arrest,930.0,,,,7300    BAKMAN                       AV,,"(34.203, -118.3779)"
3,151521121,11/04/2015,04/28/2015,2125,,N Hollywood,1567,121,"RAPE, FORCIBLE",2000 0429 1241 0416 0400 0527 1813 2002,23.0,F,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121.0,,,,10700    LANDALE                      ST,,"(34.1513, -118.3642)"
4,151521123,11/05/2015,10/27/2015,600,,N Hollywood,1515,354,THEFT OF IDENTITY,0100 1822,25.0,F,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,11700    LEMAY                        ST,,"(34.1912, -118.3891)"
5,151521128,11/05/2015,11/04/2015,2200,,N Hollywood,1548,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5200    CAHUENGA                     BL,,"(34.1667, -118.3702)"
6,151521130,11/04/2015,11/04/2015,1930,,N Hollywood,1548,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1202,57.0,M,H,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,341.0,,,,5300    LANKERSHIM                   BL,,"(34.167, -118.3759)"
7,151521131,11/04/2015,10/05/2015,1200,,N Hollywood,1522,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,64.0,M,O,101.0,STREET,,,IC,Invest Cont,331.0,,,,13100    WELBY                        WY,,"(34.193, -118.4181)"
8,151521132,11/04/2015,11/04/2015,730,,N Hollywood,1523,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,66.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745.0,,,,6200    BEEMAN                       AV,,"(34.1831, -118.4073)"
9,151521134,11/04/2015,11/04/2015,2230,,N Hollywood,1548,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0104 0325,0.0,M,W,404.0,DEPARTMENT STORE,,,AA,Adult Arrest,440.0,,,,5300    VINELAND                     AV,,"(34.167, -118.3703)"
10,151521143,11/05/2015,10/28/2015,1030,,N Hollywood,1585,470,TILL TAP - GRAND THEFT ($950.01 & OVER),0344,36.0,M,B,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,470.0,,,,11300    VENTURA                      BL,,"(34.143, -118.3727)"
11,151521145,11/05/2015,11/05/2015,1030,,N Hollywood,1547,626,INTIMATE PARTNER - SIMPLE ASSAULT,0444 2000,52.0,F,W,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,5200    TUJUNGA                      AV,,"(34.1673, -118.3816)"
12,151521146,11/05/2015,10/30/2015,1530,,N Hollywood,1503,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,34.0,M,W,710.0,OTHER PREMISE,,,IC,Invest Cont,341.0,,,,12200    SHERMAN                      WY,,"(34.2008, -118.3982)"
13,151521149,11/05/2015,11/04/2015,1230,,N Hollywood,1569,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,53.0,M,O,401.0,MINI-MART,,,IC,Invest Cont,740.0,,,,10500    RIVERSIDE                    DR,,"(34.1522, -118.3593)"
14,151521150,11/05/2015,10/26/2015,1600,,N Hollywood,1562,354,THEFT OF IDENTITY,1822 0930,76.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,4500    COLDWATER CANYON             AV,,"(34.1522, -118.4138)"
15,151521152,11/05/2015,11/05/2015,800,,N Hollywood,1545,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311,0.0,M,W,721.0,HIGH SCHOOL,,,IC,Invest Cont,740.0,,,,5200    COLFAX                       AV,,"(34.1649, -118.3921)"
16,151521155,11/05/2015,10/30/2015,2230,,N Hollywood,1539,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,30.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,5900    CAHUENGA                     BL,,"(34.1778, -118.3615)"
17,151521158,11/05/2015,11/03/2015,2200,,N Hollywood,1547,624,BATTERY - SIMPLE ASSAULT,0416,32.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,11400    KILLION                      ST,,"(34.1713, -118.3795)"
18,151521159,11/05/2015,11/04/2015,2130,,N Hollywood,1583,310,BURGLARY,0344,73.0,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,310.0,,,,4100    TROOST                       AV,,"(34.1429, -118.3865)"
19,151521162,11/05/2015,11/04/2015,1800,,N Hollywood,1538,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,TIARA,FAIR,"(34.1785, -118.3746)"
20,151521164,11/05/2015,11/05/2015,1325,,N Hollywood,1526,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,35.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,11400    OXNARD                       ST,,"(34.1849, -118.3834)"
21,151521165,11/05/2015,11/05/2015,1600,,N Hollywood,1519,888,TRESPASSING,,30.0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,888.0,,,,VICTORY                      BL,CAHUENGA                     BL,"(34.186, -118.3615)"
22,151521166,11/05/2015,11/05/2015,1800,,N Hollywood,1548,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 2004 1414 0416,50.0,M,H,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230.0,,,,MAGNOLIA                     BL,TUJUNGA                      AV,"(34.1649, -118.379)"
23,151521168,11/05/2015,11/05/2015,1200,,N Hollywood,1527,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,0.0,M,O,108.0,PARKING LOT,,,IC,Invest Cont,440.0,,,,11000    VICTORY                      BL,,"(34.1867, -118.3703)"
24,151521169,11/05/2015,11/04/2015,2000,,N Hollywood,1549,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0385,41.0,M,B,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,420.0,,,,5400    FAIR                         AV,,"(34.1685, -118.3743)"
25,151521170,11/05/2015,11/05/2015,1340,,N Hollywood,1526,624,BATTERY - SIMPLE ASSAULT,0400,50.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,6100    TUJUNGA                      AV,,"(34.1849, -118.3834)"
26,151521172,11/05/2015,10/18/2015,1200,,N Hollywood,1525,354,THEFT OF IDENTITY,,67.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5900    CARPENTER                    AV,,"(34.1776, -118.3888)"
27,151521174,11/05/2015,10/31/2015,2330,,N Hollywood,1513,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,56.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,SHERMAN                      WY,BELLAIRE,"(34.2012, -118.4094)"
28,151521176,11/05/2015,11/05/2015,1000,,N Hollywood,1589,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,20.0,F,O,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,6300    FOREST LAWN                  DR,,"(34.1502, -118.3281)"
29,151521177,11/05/2015,11/05/2015,1845,,N Hollywood,1585,888,TRESPASSING,0913,0.0,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,888.0,,,,10900    BLUFFSIDE                    DR,,"(34.1414, -118.3686)"
30,151521179,11/06/2015,11/06/2015,1,,N Hollywood,1539,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,0.0,M,O,210.0,RESTAURANT/FAST FOOD,500.0,UNKNOWN WEAPON/OTHER WEAPON,JA,Juv Arrest,740.0,998.0,,,CLEON                        ST,SATSUMA                      AV,"(34.1758, -118.3643)"
31,151521180,11/05/2015,09/29/2015,1200,,N Hollywood,1513,354,THEFT OF IDENTITY,1822,72.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7100    BELLAIRE                     AV,,"(34.1994, -118.4094)"
32,151521181,11/05/2015,11/04/2015,2200,,N Hollywood,1543,410,"BURGLARY FROM VEHICLE, ATTEMPTED",1300 1607,55.0,F,O,101.0,STREET,,,IC,Invest Cont,410.0,,,,12400    WEDDINGTON                   ST,,"(34.1667, -118.403)"
33,151521182,11/06/2015,11/05/2015,1935,,N Hollywood,1548,510,VEHICLE - STOLEN,,0.0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,510.0,,,,5200    BLAKESLEE                    AV,,"(34.1649, -118.3724)"
34,151521183,11/05/2015,11/05/2015,2100,,N Hollywood,1555,624,BATTERY - SIMPLE ASSAULT,0444 0446 1810,24.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,5000    FAIR                         AV,,"(34.1613, -118.3747)"
35,151521185,11/05/2015,05/05/2015,1200,,N Hollywood,1535,354,THEFT OF IDENTITY,0377 0928 0929 1822,24.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,5600    FARMDALE                     AV,,"(34.1722, -118.381)"
36,151521187,11/06/2015,11/06/2015,315,,N Hollywood,1525,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0444 0448 0408 0913 1813 1814 2002,28.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236.0,,,,6500    SIMPSON                      AV,,"(34.1895, -118.3889)"
37,151521189,11/06/2015,11/06/2015,5,,N Hollywood,1549,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,20.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,5400    FAIR                         AV,,"(34.1685, -118.3743)"
38,151521193,11/05/2015,08/20/2015,1,,N Hollywood,1521,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1202 0421 0603 0361,94.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,13100    BARBARA ANN                  ST,,"(34.2002, -118.4181)"
39,151521194,11/06/2015,11/04/2015,1200,,N Hollywood,1535,354,THEFT OF IDENTITY,0928 1822 0922,47.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5600    LANKERSHIM                   BL,,"(34.1722, -118.379)"
40,151521196,11/06/2015,11/05/2015,2230,,N Hollywood,1521,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,33.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,13100    VANOWEN                      ST,,"(34.198, -118.4216)"
41,151521197,11/06/2015,08/07/2015,2015,,N Hollywood,1583,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0.0,,,203.0,OTHER BUSINESS,,,IC,Invest Cont,668.0,,,,11500    VENTURA                      BL,,"(34.1451, -118.3875)"
42,151521198,11/06/2015,11/06/2015,715,,N Hollywood,1541,320,"BURGLARY, ATTEMPTED",1607,59.0,F,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320.0,,,,12600    HESBY                        ST,,"(34.1622, -118.4076)"
43,151521202,11/05/2015,07/01/2015,2030,,N Hollywood,1521,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,94.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,745.0,,,,13100    BARBARA ANN                  ST,,"(34.2002, -118.4181)"
44,151521205,11/06/2015,11/06/2015,1530,,N Hollywood,1563,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4200    IRVINE                       AV,,"(34.1531, -118.3855)"
45,151521207,11/06/2015,11/06/2015,310,,N Hollywood,1545,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0.0,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,AA,Adult Arrest,740.0,,,,LAUREL CANYON                BL,VENTURA                      BL,"(34.1649, -118.3921)"
46,151521208,11/04/2015,06/17/2015,2300,,N Hollywood,1599,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,20.0,F,H,109.0,PARK/PLAYGROUND,,,IC,Invest Cont,440.0,,,,7700    MULHOLLAND                   DR,,"(34.1284, -118.3568)"
47,151521209,11/06/2015,11/06/2015,1510,,N Hollywood,1559,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0444 1309 1414 0913 1814 1311 0400,27.0,F,H,110.0,FREEWAY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236.0,,,,VENTURA                      BL,CAHUENGA                     BL,"(34.1534, -118.3615)"
48,151521211,11/05/2015,11/05/2015,1630,,N Hollywood,1517,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 0906,31.0,M,H,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,KLUMP                        AV,VANOWEN                      ST,"(34.194, -118.3757)"
49,151521214,11/06/2015,11/06/2015,1600,,N Hollywood,1548,510,VEHICLE - STOLEN,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,5200    LANKERSHIM                   BL,,"(34.1649, -118.3746)"
50,151521216,11/06/2015,11/06/2015,1250,,N Hollywood,1505,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0906 0325,0.0,M,O,243.0,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,AA,Adult Arrest,442.0,,,,11600    SHERMAN                      WY,,"(34.2012, -118.3845)"
51,151521217,11/06/2015,11/06/2015,1530,,N Hollywood,1523,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,46.0,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,12800    VICTORY                      BL,,"(34.1867, -118.4117)"
52,151521218,11/06/2015,11/06/2015,800,,N Hollywood,1526,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0913 0344,27.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,11600    OXNARD                       ST,,"(34.1849, -118.3834)"
53,151521219,11/05/2015,11/05/2015,2000,,N Hollywood,1523,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 2000,20.0,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,745.0,,,,6100    COLDWATER CANYON             AV,,"(34.1813, -118.4137)"
54,151521220,11/06/2015,09/28/2015,1230,,N Hollywood,1504,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,32.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,7500    SIMPSON                      AV,,"(34.2067, -118.389)"
55,151521222,11/06/2015,10/27/2015,1200,,N Hollywood,1583,354,THEFT OF IDENTITY,0928 1822,63.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,11500    DILLING                      ST,,"(34.1433, -118.3822)"
56,151521223,11/06/2015,11/06/2015,2200,,N Hollywood,1583,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 0421 2002 0408,30.0,M,W,207.0,BAR/COCKTAIL/NIGHTCLUB,511.0,VERBAL THREAT,AA,Adult Arrest,930.0,,,,4200    COLFAX                       AV,,"(34.1456, -118.3877)"
57,151521224,11/07/2015,11/07/2015,20,,N Hollywood,1547,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1212,39.0,M,H,726.0,POLICE FACILITY,511.0,VERBAL THREAT,AA,Adult Arrest,930.0,,,,11600    BURBANK                      BL,,"(34.1722, -118.3844)"
58,151521227,11/07/2015,11/06/2015,1900,,N Hollywood,1522,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,13000    VANOWEN                      ST,,"(34.194, -118.4163)"
59,151521230,11/07/2015,11/06/2015,2000,,N Hollywood,1509,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,7300    CARTWRIGHT                   AV,,"(34.203, -118.3638)"
60,151521231,11/06/2015,11/06/2015,1100,,N Hollywood,1509,330,BURGLARY FROM VEHICLE,0344 1300,35.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,10700    SHERMAN                      WY,,"(34.2029, -118.3664)"
61,151521233,11/07/2015,11/06/2015,1200,,N Hollywood,1535,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,22.0,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,5600    LANKERSHIM                   BL,,"(34.1722, -118.379)"
62,151521234,11/07/2015,11/07/2015,10,,N Hollywood,1509,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,7300    VINELAND                     AV,,"(34.2034, -118.3703)"
63,151521237,11/07/2015,11/06/2015,1425,,N Hollywood,1503,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,23.0,F,H,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",,,IC,Invest Cont,442.0,,,,6600    LAUREL CANYON                BL,,"(34.2003, -118.4002)"
64,151521239,11/07/2015,11/06/2015,2330,,N Hollywood,1535,624,BATTERY - SIMPLE ASSAULT,0416,65.0,M,A,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,5800    TROOST                       AV,,"(34.1758, -118.3866)"
65,151521250,11/07/2015,08/17/2015,2300,,N Hollywood,1581,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0352,44.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,4300    BELLINGHAM                   AV,,"(34.1486, -118.3987)"
66,151521251,11/07/2015,11/07/2015,1725,,N Hollywood,1555,210,ROBBERY,0344 0421 0334 0400 0913,47.0,M,B,101.0,STREET,207.0,OTHER KNIFE,AO,Adult Other,210.0,,,,4900    LANKERSHIM                   BL,,"(34.1601, -118.3717)"
67,151521252,11/07/2015,11/07/2015,1815,,N Hollywood,1585,210,ROBBERY,0344 0416 0945 0104 0325 0202 0378 1420,29.0,F,W,203.0,OTHER BUSINESS,302.0,BLUNT INSTRUMENT,IC,Invest Cont,210.0,,,,10900    VENTURA                      BL,,"(34.143, -118.3727)"
68,151521256,11/07/2015,11/06/2015,900,,N Hollywood,1504,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000 1251 1259 1814,15.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,RUNNYMEDE                    ST,LANKERSHIM                   BL,"(34.2058, -118.3878)"
69,151521257,11/07/2015,11/07/2015,1745,,N Hollywood,1524,510,VEHICLE - STOLEN,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,12100    VICTORY                      BL,,"(34.1867, -118.3965)"
70,151521258,11/07/2015,11/07/2015,2215,,N Hollywood,1516,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1813 1414 2002 2000 0416 0421,37.0,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,930.0,,,,6700    TROOST                       AV,,"(34.1922, -118.3866)"
71,151521262,11/07/2015,11/07/2015,2130,,N Hollywood,1506,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,38.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,11000    COHASSET                     ST,,"(34.2067, -118.3703)"
72,151521264,11/07/2015,11/07/2015,815,,N Hollywood,1543,888,TRESPASSING,0329,50.0,M,O,222.0,LAUNDROMAT,,,AA,Adult Arrest,888.0,,,,5300    LAUREL CANYON                BL,,"(34.1685, -118.4008)"
73,151521265,11/07/2015,11/07/2015,1650,,N Hollywood,1557,624,BATTERY - SIMPLE ASSAULT,0416 0917,51.0,M,H,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,10900    MAGNOLIA                     BL,,"(34.1649, -118.3683)"
74,151521266,11/06/2015,11/06/2015,1700,,N Hollywood,1585,624,BATTERY - SIMPLE ASSAULT,0416 0561,62.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,11100    AQUA VISTA                   ST,,"(34.145, -118.3725)"
75,151521267,11/07/2015,11/07/2015,300,,N Hollywood,1595,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0.0,M,W,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,740.0,,,,11900    VENTURA                      BL,,"(34.1427, -118.3908)"
76,151521268,11/06/2015,11/06/2015,1130,,N Hollywood,1543,310,BURGLARY,0344 1607 0321 1414,27.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,5500    CORTEEN                      PL,,"(34.1704, -118.4019)"
77,151521269,11/07/2015,10/19/2015,800,,N Hollywood,1526,354,THEFT OF IDENTITY,1822 0928,65.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,6000    HAZELHURST                   PL,,"(34.1794, -118.3856)"
78,151521270,11/07/2015,11/05/2015,1335,,N Hollywood,1501,354,THEFT OF IDENTITY,1822 0930,62.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,13100    STAGG                        ST,,"(34.2114, -118.4201)"
79,151521272,11/08/2015,11/07/2015,1830,,N Hollywood,1531,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,12600    MARTHA                       ST,,"(34.1731, -118.4073)"
80,151521274,11/07/2015,11/07/2015,1240,,N Hollywood,1538,903,CONTEMPT OF COURT,1501,29.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,903.0,,,,5700    FAIR                         AV,,"(34.174, -118.3746)"
81,151521277,11/08/2015,10/31/2015,1800,,N Hollywood,1555,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,30.0,M,W,101.0,STREET,,,IC,Invest Cont,331.0,,,,11100    MORRISON                     ST,,"(34.1608, -118.3721)"
82,151521278,11/08/2015,11/07/2015,1730,,N Hollywood,1504,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300,63.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,LAUREL CANYON,ARCHWOOD,"(34.2045, -118.392)"
83,151521280,11/08/2015,10/28/2015,1,,N Hollywood,1545,354,THEFT OF IDENTITY,0929 1822,32.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5400    CARPENTER                    AV,,"(34.1687, -118.391)"
84,151521281,11/08/2015,09/01/2015,600,,N Hollywood,1535,354,THEFT OF IDENTITY,0930 1822,37.0,M,F,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,11400    COLLINS                      ST,,"(34.174, -118.379)"
85,151521287,11/08/2015,11/05/2015,1640,,N Hollywood,1505,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0325,0.0,M,W,243.0,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,AA,Adult Arrest,442.0,998.0,,,11600    SHERMAN                      WY,,"(34.2012, -118.3845)"
86,151521288,11/08/2015,11/07/2015,2100,,N Hollywood,1505,121,"RAPE, FORCIBLE",2000 0527 1814 0400 1309 1305 1402 0448 0418 1415,20.0,F,H,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121.0,920.0,,,11600    SHERMAN                      WY,,"(34.2012, -118.3845)"
87,151521289,11/08/2015,11/07/2015,900,,N Hollywood,1502,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,46.0,M,H,101.0,STREET,,,AA,Adult Arrest,420.0,,,,12600    LULL                         ST,,"(34.2087, -118.4078)"
88,151521291,11/06/2015,11/06/2015,1406,,N Hollywood,1505,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0906,61.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,7400    TUJUNGA                      AV,,"(34.2036, -118.3833)"
89,151521293,11/08/2015,11/08/2015,1830,,N Hollywood,1519,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0.0,M,W,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",,,IC,Invest Cont,745.0,,,,10900    VICTORY                      BL,,"(34.1909, -118.3654)"
90,151521295,11/07/2015,11/07/2015,1840,,N Hollywood,1526,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0416 1414 0408 0448 1814 0913 2004,23.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236.0,,,,11600    FRIAR                        ST,,"(34.1858, -118.3847)"
91,151521297,11/08/2015,11/08/2015,500,,N Hollywood,1546,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,40.0,M,A,101.0,STREET,,,IC,Invest Cont,740.0,,,,MAGNOLIA,TUJUNGA,"(34.1629, -118.3848)"
